feature,plain_language
dti,"your monthly debt obligations are high relative to your reported income (debt-to-income ratio: {value:.1%})"
revol_util,"you are using a high portion of your available revolving credit (current utilization: {value:.0%})"
delinq_2yrs,"there are recent delinquencies on your credit history ({value:.0f} in the past 2 years)"
int_rate,"the requested interest rate of {value:.1f}% indicates elevated risk in our scoring"
annual_inc,"the annual income reported ({value:,.0f}) is below the typical threshold for this loan size"
loan_amnt,"the loan amount requested ({value:,.0f}) is large relative to other indicators"
open_acc,"the number of currently open credit accounts ({value:.0f}) is unusually high"
total_acc,"your total number of credit accounts ({value:.0f}) is unusually high"
pub_rec,"there are public records of past credit difficulties ({value:.0f})"
fico_range_low,"your credit score is below the threshold typically required ({value:.0f})"
inq_last_6mths,"the number of recent credit inquiries ({value:.0f}) is high"
emp_length,"the reported employment length is short ({value:.0f} years)"
home_ownership,"home ownership status reported as {value} affects our assessment"
verification_status,"income verification status is {value}"
purpose,"the stated loan purpose ({value}) carries elevated risk in our model"
